logical-address=30023,page-number=7,offset=1351
tlb-hit=0,page-number=72,frame=none,physical-address=none
tlb-remove=none,tlb-add=72logical-address=299008,page-number=73,offset=0
tlb-hit=0,page-number=73,frame=none,physical-address=none
tlb-remove=none,tlb-add=73logical-address=303104,page-number=74,offset=0
tlb-hit=0,page-number=74,frame=none,physical-address=none
tlb-remove=none,tlb-add=74logical-address=307200,page-number=75,offset=0
tlb-hit=0,page-number=75,frame=none,physical-address=none
tlb-remove=none,tlb-add=75logical-address=311296,page-number=76,offset=0
tlb-hit=0,page-number=76,frame=none,physical-address=none
tlb-remove=none,tlb-add=76logical-address=315392,page-number=77,offset=0
tlb-hit=0,page-number=77,frame=none,physical-address=none
tlb-remove=none,tlb-add=77logical-address=319488,page-number=78,offset=0
tlb-hit=0,page-number=78,frame=none,physical-address=none
tlb-remove=none,tlb-add=78logical-address=323584,page-number=79,offset=0
tlb-hit=0,page-number=79,frame=none,physical-address=none
tlb-remove=none,tlb-add=79logical-address=327680,page-number=80,offset=0
tlb-hit=0,page-number=80,frame=none,physical-address=none
tlb-remove=none,tlb-add=80logical-address=331776,page-number=81,offset=0
tlb-hit=0,page-number=81,frame=none,physical-address=none
tlb-remove=none,tlb-add=81logical-address=335872,page-number=82,offset=0
tlb-hit=0,page-number=82,frame=none,physical-address=none
tlb-remove=none,tlb-add=82logical-address=339968,page-number=83,offset=0
tlb-hit=0,page-number=83,frame=none,physical-address=none
tlb-remove=none,tlb-add=83logical-address=344064,page-number=84,offset=0
tlb-hit=0,page-number=84,frame=none,physical-address=none
tlb-remove=none,tlb-add=84logical-address=348160,page-number=85,offset=0
tlb-hit=0,page-number=85,frame=none,physical-address=none
tlb-remove=none,tlb-add=85logical-address=352256,page-number=86,offset=0
tlb-hit=0,page-number=86,frame=none,physical-address=none
tlb-remove=none,tlb-add=86logical-address=356352,page-number=87,offset=0
tlb-hit=0,page-number=87,frame=none,physical-address=none
tlb-remove=none,tlb-add=87logical-address=360448,page-number=88,offset=0
tlb-hit=0,page-number=88,frame=none,physical-address=none
tlb-remove=none,tlb-add=88logical-address=364544,page-number=89,offset=0
tlb-hit=0,page-number=89,frame=none,physical-address=none
tlb-remove=none,tlb-add=89logical-address=368640,page-number=90,offset=0
tlb-hit=0,page-number=90,frame=none,physical-address=none
tlb-remove=none,tlb-add=90logical-address=372736,page-number=91,offset=0
tlb-hit=0,page-number=91,frame=none,physical-address=none
tlb-remove=none,tlb-add=91logical-address=376832,page-number=92,offset=0
tlb-hit=0,page-number=92,frame=none,physical-address=none
tlb-remove=none,tlb-add=92logical-address=380928,page-number=93,offset=0
tlb-hit=0,page-number=93,frame=none,physical-address=none
tlb-remove=none,tlb-add=93logical-address=385024,page-number=94,offset=0
tlb-hit=0,page-number=94,frame=none,physical-address=none
tlb-remove=none,tlb-add=94logical-address=389120,page-number=95,offset=0
tlb-hit=0,page-number=95,frame=none,physical-address=none
tlb-remove=none,tlb-add=95logical-address=393216,page-number=96,offset=0
tlb-hit=0,page-number=96,frame=none,physical-address=none
tlb-remove=none,tlb-add=96logical-address=397312,page-number=97,offset=0
tlb-hit=0,page-number=97,frame=none,physical-address=none
tlb-remove=none,tlb-add=97logical-address=401408,page-number=98,offset=0
tlb-hit=0,page-number=98,frame=none,physical-address=none
tlb-remove=none,tlb-add=98logical-address=405504,page-number=99,offset=0
tlb-hit=0,page-number=99,frame=none,physical-address=none
